Eurydice,ID,ID,ID,,,,Line,,Notes by AR,Notes by DK
Integrated,Lyric,89,EurydiceSong1_Duet_021,,,,{!Icons.Music}They've come and gone and passed me by{!Icons.Music},,,
Integrated,Lyric,90,EurydiceSong1_Duet_022,,,,{!Icons.Music}Good riddance to all{!Icons.Music},,,
Integrated,Lyric,91,EurydiceSong1_Duet_023,,,,{!Icons.Music}Farewell{!Icons.Music},,,
Integrated,Lyric,92,EurydiceSong1_Duet_024,,,,{!Icons.Music}To all the earthly remains{!Icons.Music},,,
Integrated,Lyric,93,EurydiceSong1_Duet_025,,,,{!Icons.Music}No burdens{!Icons.Music},,,
Integrated,Lyric,94,EurydiceSong1_Duet_026,,,,{!Icons.Music}No further debts to be paid{!Icons.Music},,,
Integrated,Lyric,95,EurydiceSong1_Duet_027,,,,{!Icons.Music}Atlas{!Icons.Music},,,
Integrated,Lyric,96,EurydiceSong1_Duet_028,,,,{!Icons.Music}Can rest his weary bones{!Icons.Music},,,
Integrated,Lyric,97,EurydiceSong1_Duet_029,,,,{!Icons.Music}The weight of the world{!Icons.Music},,,
Integrated,Lyric,98,EurydiceSong1_Duet_030,,,,{!Icons.Music}All falls away{!Icons.Music},,,
Integrated,Lyric,99,EurydiceSong1_Duet_031,,,,{!Icons.Music}In time{!Icons.Music},,,
Integrated,Lyric,100,EurydiceSong1_Duet_032,,,,,,,
Integrated,Lyric,101,EurydiceSong1_Duet_033,,,,,,,
Integrated,Lyric,102,EurydiceSong1_Duet_034,,,,,,,
Integrated,Lyric,103,EurydiceSong1_Duet_035,,,,,,,
Integrated,Lyric,104,,,,,,,,
Integrated,Lyric,105,OrpheusSong1VACOUSTIC_001,,,,{!Icons.Music}Hear oh gods my desperate plea{!Icons.Music},,,
Integrated,Lyric,106,OrpheusSong1VACOUSTIC_002,,,,{!Icons.Music}To see my love beside me{!Icons.Music},,,
Integrated,Lyric,107,OrpheusSong1VACOUSTIC_003,,,,{!Icons.Music}Sunk below the mortal sea{!Icons.Music},,,
Integrated,Lyric,108,OrpheusSong1VACOUSTIC_004,,,,{!Icons.Music}Her anchor weighs upon me{!Icons.Music},,,
Integrated,Lyric,109,OrpheusSong1VACOUSTIC_005,,,,{!Icons.Music}Fasten her tether unto me{!Icons.Music},,,
Integrated,Lyric,110,OrpheusSong1VACOUSTIC_006,,,,{!Icons.Music}That she may rise to sail free{!Icons.Music},,,
Integrated,Lyric,111,OrpheusSong1VACOUSTIC_007,,,,{!Icons.Music}Don't{!Icons.Music},,,
Integrated,Lyric,112,OrpheusSong1VACOUSTIC_008,,,,{!Icons.Music}Don't look back{!Icons.Music},,,
Integrated,Lyric,113,OrpheusSong1VACOUSTIC_009,,,,{!Icons.Music}Close enough that light we can see{!Icons.Music},,,
Integrated,Lyric,114,OrpheusSong1VACOUSTIC_010,,,,{!Icons.Music}My doubt betrays the better of me{!Icons.Music},,,
Integrated,Lyric,115,OrpheusSong1VACOUSTIC_011,,,,{!Icons.Music}Glance to the stern is all it would be{!Icons.Music},,,
Integrated,Lyric,116,OrpheusSong1VACOUSTIC_012,,,,{!Icons.Music}That anguished shade shall haunt me{!Icons.Music},,,
Integrated,Lyric,117,OrpheusSong1VACOUSTIC_013,,,,{!Icons.Music}Ever on{!Icons.Music},,,
Integrated,Lyric,118,OrpheusSong1VACOUSTIC_014,,,,{!Icons.Music}Calm{!Icons.Music},,,
Integrated,Lyric,119,OrpheusSong1VACOUSTIC_015,,,,{!Icons.Music}Seas{!Icons.Music},,,
Integrated,Lyric,120,OrpheusSong1VACOUSTIC_016,,,,{!Icons.Music}Winds alee{!Icons.Music},,,
Integrated,Lyric,121,OrpheusSong1VACOUSTIC_017,,,,{!Icons.Music}But now the squall's upon us{!Icons.Music},,,
Integrated,Lyric,122,OrpheusSong1VACOUSTIC_018,,,,{!Icons.Music}We're foundering{!Icons.Music},,,
Integrated,Lyric,123,OrpheusSong1VACOUSTIC_019,,,,{!Icons.Music}Drowning{!Icons.Music},,,
Integrated,Lyric,124,OrpheusSong1VACOUSTIC_020,,,,{!Icons.Music}Don't look back{!Icons.Music},,,
Integrated,Lyric,125,OrpheusSong1VACOUSTIC_021,,,,{!Icons.Music}Don't look back{!Icons.Music},,,
Integrated,Lyric,126,OrpheusSong1VACOUSTIC_022,,,,{!Icons.Music}Don't look back{!Icons.Music},,,
Integrated,Lyric,127,OrpheusSong1VACOUSTIC_023,,,,{!Icons.Music}Don't look back{!Icons.Music},,,
Integrated,Lyric,128,OrpheusSong1VACOUSTIC_024,,,,{!Icons.Music}Don't look back{!Icons.Music},,,
Integrated,Lyric,129,OrpheusSong1VACOUSTIC_025,,,,,,,
Integrated,Lyric,130,OrpheusSong1VACOUSTIC_026,,,,,,,
Integrated,Lyric,131,OrpheusSong1VACOUSTIC_027,,,,,,,
Integrated,Lyric,132,OrpheusSong1VACOUSTIC_028,,,,,,,
Integrated,Lyric,133,OrpheusSong1VACOUSTIC_029,,,,,,,
Integrated,Lyric,134,OrpheusSong1VACOUSTIC_030,,,,,,,
Integrated,Lyric,135,OrpheusSong1VACOUSTIC_031,,,,,,,
Integrated,Lyric,136,OrpheusSong1VACOUSTIC_032,,,,,,,
Integrated,Lyric,137,OrpheusSong1VACOUSTIC_033,,,,,,,
Integrated,Lyric,138,,,,,,,,
Integrated,Lyric,139,OrpheusSong2_001,,,,{!Icons.Music}Sing of Zagreus oh muse{!Icons.Music},,,
Integrated,Lyric,140,OrpheusSong2_002,,,,{!Icons.Music}Slayer of hydras{!Icons.Music},,,
Integrated,Lyric,141,OrpheusSong2_003,,,,{!Icons.Music}First of his name{!Icons.Music},,,
Integrated,Lyric,142,OrpheusSong2_004,,,,{!Icons.Music}Born of Zeus as a serpent{!Icons.Music},,,
Integrated,Lyric,143,OrpheusSong2_005,,,,{!Icons.Music}In spite of Queen Hera{!Icons.Music},,,
Integrated,Lyric,144,OrpheusSong2_006,,,,{!Icons.Music}Zagreus came{!Icons.Music},,,
Integrated,Lyric,145,OrpheusSong2_007,,,,{!Icons.Music}Torn to shreds by the Titans{!Icons.Music},,,
Integrated,Lyric,146,OrpheusSong2_008,,,,{!Icons.Music}Devoured in pieces{!Icons.Music},,,
Integrated,Lyric,147,OrpheusSong2_009,,,,{!Icons.Music}From his heart aflame{!Icons.Music},,,
Integrated,Lyric,148,OrpheusSong2_010,,,,{!Icons.Music}The seed of Dionysus grew{!Icons.Music},,,
Integrated,Lyric,149,OrpheusSong2_011,,,,{!Icons.Music}The god of wine and feast anew{!Icons.Music},,,
Integrated,Lyric,150,OrpheusSong2_012,,,,{!Icons.Music}To live{!Icons.Music},,,
Integrated,Lyric,151,OrpheusSong2_013,,,,{!Icons.Music}At home on Olympus{!Icons.Music},,,
Integrated,Lyric,152,OrpheusSong2_014,,,,{!Icons.Music}Never presuming{!Icons.Music},,,
Integrated,Lyric,153,OrpheusSong2_015,,,,{!Icons.Music}His origins true{!Icons.Music},,,
Integrated,Lyric,154,OrpheusSong2_016,,,,{!Icons.Music}Wrath of thunder and lightning{!Icons.Music},,,
Integrated,Lyric,155,OrpheusSong2_017,,,,{!Icons.Music}Struck down the Titans{!Icons.Music},,,
Integrated,Lyric,156,OrpheusSong2_018,,,,{!Icons.Music}Burned into sand{!Icons.Music},,,
Integrated,Lyric,157,OrpheusSong2_019,,,,{!Icons.Music}Up from out of the ashes{!Icons.Music},,,
Integrated,Lyric,158,OrpheusSong2_020,,,,{!Icons.Music}Born of the Titans{!Icons.Music},,,
Integrated,Lyric,159,OrpheusSong2_021,,,,{!Icons.Music}The mortals did stand{!Icons.Music},,,
Integrated,Lyric,160,OrpheusSong2_022,,,,{!Icons.Music}To live the model of the gods{!Icons.Music},,,
Integrated,Lyric,161,OrpheusSong2_023,,,,{!Icons.Music}At once divine and further flawed{!Icons.Music},,,
Integrated,Lyric,162,OrpheusSong2_024,,,,{!Icons.Music}In twain{!Icons.Music},,,
Integrated,Lyric,163,OrpheusSong2_025,,,,{!Icons.Music}The blood of immortals{!Icons.Music},,,
Integrated,Lyric,164,OrpheusSong2_026,,,,{!Icons.Music}Of Zagreus ending{!Icons.Music},,,
Integrated,Lyric,165,OrpheusSong2_027,,,,{!Icons.Music}It flows in their veins{!Icons.Music},,,
Integrated,Lyric,166,OrpheusSong2_028,,,,{!Icons.Music}The Prince{!Icons.Music},,,
Integrated,Lyric,167,OrpheusSong2_029,,,,{!Icons.Music}Under the mortal ring{!Icons.Music},,,
Integrated,Lyric,168,OrpheusSong2_030,,,,{!Icons.Music}Prisoner to his king{!Icons.Music},,,
Integrated,Lyric,169,OrpheusSong2_031,,,,{!Icons.Music}Never to leave{!Icons.Music},,,
Integrated,Lyric,170,OrpheusSong2_032,,,,{!Icons.Music}Steadfast{!Icons.Music},,,
Integrated,Lyric,171,OrpheusSong2_033,,,,{!Icons.Music}Endlessly toiling{!Icons.Music},,,
Integrated,Lyric,172,OrpheusSong2_034,,,,{!Icons.Music}Doomed to remain{!Icons.Music},,,
Integrated,Lyric,173,OrpheusSong2_035,,,,{!Icons.Music}Endlessly toiling{!Icons.Music},,,
Integrated,Lyric,174,OrpheusSong2_036,,,,{!Icons.Music}Doomed to remain{!Icons.Music},,,
Integrated,Lyric,175,,,,,,,,
Integrated,Lyric,176,EndTheme_001,,,,{#EurydiceSoloFormat}{!Icons.Music}Fates{!Icons.Music},,,
Integrated,Lyric,178,EndTheme_002,,,,{#EurydiceSoloFormat}{!Icons.Music}Weave their threads{!Icons.Music},,,
Integrated,Lyric,179,EndTheme_003,,,,{#EurydiceSoloFormat}{!Icons.Music}Our lives are sewn{!Icons.Music},,,
Integrated,Lyric,180,EndTheme_004,,,,{#OrpheusSoloFormat}{!Icons.Music}Born{!Icons.Music},,,
Integrated,Lyric,181,EndTheme_005,,,,{!Icons.Music}To a life{!Icons.Music},,,
Integrated,Lyric,182,EndTheme_006,,,,{!Icons.Music}All but our own{!Icons.Music},,,
Integrated,Lyric,183,EndTheme_007,,,,{!Icons.Music}We feel it inside our bones{!Icons.Music},,,
Integrated,Lyric,184,EndTheme_008,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,185,EndTheme_009,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,186,EndTheme_010,,,,{!Icons.Music}It's in the blood oh{!Icons.Music},,,
Integrated,Lyric,187,EndTheme_011,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,188,EndTheme_012,,,,{#OrpheusSoloFormat}{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,189,EndTheme_013,,,,{#EurydiceSoloFormat}{!Icons.Music}Loves{!Icons.Music},,,
Integrated,Lyric,190,EndTheme_014,,,,{#EurydiceSoloFormat}{!Icons.Music}In your life{!Icons.Music},,,
Integrated,Lyric,191,EndTheme_015,,,,{#EurydiceSoloFormat}{!Icons.Music}Live ever on{!Icons.Music},,,
Integrated,Lyric,192,EndTheme_016,,,,{#OrpheusSoloFormat}{!Icons.Music}Home{!Icons.Music},,,
Integrated,Lyric,193,EndTheme_017,,,,{!Icons.Music}Is not where you live{!Icons.Music},,,
Integrated,Lyric,194,EndTheme_018,,,,{!Icons.Music}But who cares when you're gone{!Icons.Music},,,
Integrated,Lyric,195,EndTheme_019,,,,{!Icons.Music}They'll follow you to the beyond{!Icons.Music},,,
Integrated,Lyric,196,EndTheme_020,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,197,EndTheme_021,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,198,EndTheme_022,,,,{!Icons.Music}It's in the blood oh{!Icons.Music},,,
Integrated,Lyric,199,EndTheme_023,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,200,EndTheme_024,,,,{!Icons.Music}Run all you like{!Icons.Music},,,
Integrated,Lyric,201,EndTheme_025,,,,{!Icons.Music}From the place you belong{!Icons.Music},,,
Integrated,Lyric,202,EndTheme_026,,,,{!Icons.Music}It's always there{!Icons.Music},,,
Integrated,Lyric,203,EndTheme_027,,,,{!Icons.Music}It's in the air{!Icons.Music},,,
Integrated,Lyric,204,EndTheme_028,,,,{!Icons.Music}Your dearest kin{!Icons.Music},,,
Integrated,Lyric,205,EndTheme_029,,,,{!Icons.Music}Below the skin{!Icons.Music},,,
Integrated,Lyric,206,EndTheme_030,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,207,EndTheme_031,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,208,EndTheme_032,,,,{!Icons.Music}It's in the blood oh{!Icons.Music},,,
Integrated,Lyric,209,EndTheme_033,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,210,EndTheme_034,,,,{!Icons.Music}Oh it's in the blood oh{!Icons.Music},,,
Integrated,Lyric,211,EndTheme_035,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,212,EndTheme_036,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,213,EndTheme_037,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,214,EndTheme_038,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,215,,,,,,,,
Integrated,Lyric,216,EndThemeACOUSTIC_001,,,,{#EurydiceSoloFormat}{!Icons.Music}Fates{!Icons.Music},,,
Integrated,Lyric,217,EndThemeACOUSTIC_002,,,,{#EurydiceSoloFormat}{!Icons.Music}Weave their threads{!Icons.Music},,,
Integrated,Lyric,218,EndThemeACOUSTIC_003,,,,{#EurydiceSoloFormat}{!Icons.Music}Our lives are sewn{!Icons.Music},,,
Integrated,Lyric,219,EndThemeACOUSTIC_004,,,,{#OrpheusSoloFormat}{!Icons.Music}Born{!Icons.Music},,,
Integrated,Lyric,220,EndThemeACOUSTIC_005,,,,{!Icons.Music}To a life{!Icons.Music},,,
Integrated,Lyric,221,EndThemeACOUSTIC_006,,,,{!Icons.Music}All but our own{!Icons.Music},,,
Integrated,Lyric,222,EndThemeACOUSTIC_007,,,,{!Icons.Music}We feel it inside our bones{!Icons.Music},,,
Integrated,Lyric,223,EndThemeACOUSTIC_008,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,224,EndThemeACOUSTIC_009,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,225,EndThemeACOUSTIC_010,,,,{!Icons.Music}It's in the blood oh{!Icons.Music},,,
Integrated,Lyric,226,EndThemeACOUSTIC_011,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,227,EndThemeACOUSTIC_012,,,,{#OrpheusSoloFormat}{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,228,EndThemeACOUSTIC_013,,,,{#EurydiceSoloFormat}{!Icons.Music}Loves{!Icons.Music},,,
Integrated,Lyric,229,EndThemeACOUSTIC_014,,,,{#EurydiceSoloFormat}{!Icons.Music}In your life{!Icons.Music},,,
Integrated,Lyric,230,EndThemeACOUSTIC_015,,,,{#EurydiceSoloFormat}{!Icons.Music}Live ever on{!Icons.Music},,,
Integrated,Lyric,231,EndThemeACOUSTIC_016,,,,{#OrpheusSoloFormat}{!Icons.Music}Home{!Icons.Music},,,
Integrated,Lyric,232,EndThemeACOUSTIC_017,,,,{!Icons.Music}Is not where you live{!Icons.Music},,,
Integrated,Lyric,233,EndThemeACOUSTIC_018,,,,{!Icons.Music}But who cares when you're gone{!Icons.Music},,,
Integrated,Lyric,234,EndThemeACOUSTIC_019,,,,{!Icons.Music}They'll follow you to the beyond{!Icons.Music},,,
Integrated,Lyric,235,EndThemeACOUSTIC_020,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,236,EndThemeACOUSTIC_021,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,237,EndThemeACOUSTIC_022,,,,{!Icons.Music}It's in the blood oh{!Icons.Music},,,
Integrated,Lyric,238,EndThemeACOUSTIC_023,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,239,EndThemeACOUSTIC_024,,,,{!Icons.Music}Run all you like{!Icons.Music},,,
Integrated,Lyric,240,EndThemeACOUSTIC_025,,,,{!Icons.Music}From the place you belong{!Icons.Music},,,
Integrated,Lyric,241,EndThemeACOUSTIC_026,,,,{!Icons.Music}It's always there{!Icons.Music},,,
Integrated,Lyric,242,EndThemeACOUSTIC_027,,,,{!Icons.Music}It's in the air{!Icons.Music},,,
Integrated,Lyric,243,EndThemeACOUSTIC_028,,,,{!Icons.Music}Your dearest kin{!Icons.Music},,,
Integrated,Lyric,244,EndThemeACOUSTIC_029,,,,{!Icons.Music}Below the skin{!Icons.Music},,,
Integrated,Lyric,245,EndThemeACOUSTIC_030,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,246,EndThemeACOUSTIC_031,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
Integrated,Lyric,247,EndThemeACOUSTIC_032,,,,{!Icons.Music}It's in the blood oh{!Icons.Music},,,
Integrated,Lyric,248,EndThemeACOUSTIC_033,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,249,EndThemeACOUSTIC_034,,,,{!Icons.Music}Oh it's in the blood oh{!Icons.Music},,,
Integrated,Lyric,250,EndThemeACOUSTIC_035,,,,{!Icons.Music}Oh it's in the blood{!Icons.Music},,,
Integrated,Lyric,251,EndThemeACOUSTIC_036,,,,{!Icons.Music}It's in the blood{!Icons.Music},,,
