MegaeraHome,ID,ID,ID,,,,Line,,,Notes by DK
Integrated,MegaeraHome_,0074,MegaeraHome_0074,,,,Oh.,,,
Integrated,MegaeraHome_,0075,MegaeraHome_0075,,,,Hard times.,,,
Integrated,MegaeraHome_,0076,MegaeraHome_0076,,,,Home again.,,,
Integrated,MegaeraHome_,0122,MegaeraHome_0122,,,,"...the problem that I have with that wretched shade is his attitude. How many times do I have to whip him to make him do his simple job. Sometimes I think that I should maybe push the blasted boulder for him. How nonsensical is that? Though, at least I no longer have to deal with his countenance for all my days. Or nights. It's been exceptionally busy as of late, hasn't it. Though I'll still always make time for our occasions here. I just, wish that miserable shade would learn his place...",,,
Integrated,MegaeraHome_,0123,MegaeraHome_0123,,,,"...I don't know which of them is worse, I swear to you. One of them is so derisive as to be intolerable, utterly. We have derisive ones here in this House, but they are nothing in comparison to her. The other is as stubborn as a brick, and that's an observation coming from someone like me. I've never really gotten through to her. I've tried to set aside our differences at times, but it's impossible. And so, having to see them both again, this often, it... is proving difficult. Fortunately we have this location to consider strategies for dealing with such matters...",,,
Integrated,MegaeraHome_,0124,MegaeraHome_0124,,,,"...He truly is an idiot, I'll give you that. I don't know why Lord Hades bothers putting up with him at all. Probably just too busy to take heed. I don't know what's worse, being forced back here involuntarily, or having to suffer his insipid advice... do you really think he likes me? Impossible. He likes the sound of his voice, that I know for sure. One of these days I'll have to tell his mother what I think... Eh, maybe I am being rather harsh about him, he is harmless enough, isn't he? Although...",,,
Integrated,MegaeraHome_,0125,MegaeraHome_0125,,,,Ahem.,,,
Integrated,MegaeraHome_,0126,MegaeraHome_0126,,,,Hmm.,,,
Integrated,MegaeraHome_,0127,MegaeraHome_0127,,,,Mmhmm.,,,
Integrated,MegaeraHome_,0128,MegaeraHome_0128,,,,Anyway...,,,
Integrated,MegaeraHome_,0129,MegaeraHome_0129,,,,Ah.,,,
Integrated,MegaeraHome_,0130,MegaeraHome_0130,,,,...Nevermind.,,,
Integrated,MegaeraHome_,0131,MegaeraHome_0131,,,,Well...,,,
Integrated,MegaeraHome_,0188,MegaeraHome_0188,,,,Welcome back.,,,
Integrated,MegaeraHome_,0189,MegaeraHome_0189,,,,Zagreus.,,,
Integrated,MegaeraHome_,0190,MegaeraHome_0190,,,,Hey you.,,,
Integrated,MegaeraHome_,0191,MegaeraHome_0191,,,,Prince.,,,
Integrated,MegaeraHome_,0192,MegaeraHome_0192,,,,You're back?,,,
Integrated,MegaeraHome_,0193,MegaeraHome_0193,,,,Hmm.,,,
Integrated,MegaeraHome_,0194,MegaeraHome_0194,,,,"Oh, hey.",,,
Integrated,MegaeraHome_,0195,MegaeraHome_0195,,,,Come here.,,,
Integrated,MegaeraHome_,0196,MegaeraHome_0196,,,,"Come here, Zag.",,,
Integrated,MegaeraHome_,0197,MegaeraHome_0197,,,,Over here.,,,
Integrated,MegaeraHome_,0198,MegaeraHome_0198,,,,Going to come talk to me?,,,
Darren,MegaeraHome_,0214,MegaeraHome_0214,,,,"I was just getting ready to head out again, no thanks to you.",,,
Integrated,MegaeraHome_,0227,MegaeraHome_0227,,,,<Laughter>,,,
Darren,MegaeraHome_,0228,MegaeraHome_0228,,,,<Laughter>,,,
Integrated,MegaeraHome_,0229,MegaeraHome_0229,,,,<Laughter>,,,
Integrated,MegaeraHome_,0230,MegaeraHome_0230,,,,<Laughter>,,,
Darren,MegaeraHome_,0231,MegaeraHome_0231,,,,<Laughter>,,,
Integrated,MegaeraHome_,0232,MegaeraHome_0232,,,,"Let's see, now...",,,
Integrated,MegaeraHome_,0233,MegaeraHome_0233,,,,What are we going to do.,,,
Integrated,MegaeraHome_,0234,MegaeraHome_0234,,,,What am I going to do with you.,,,
Integrated,MegaeraHome_,0235,MegaeraHome_0235,,,,"Get over here, right now.",,,
Integrated,MegaeraHome_,0236,MegaeraHome_0236,,,,Oh I have an idea.,,,
Integrated,MegaeraHome_,0237,MegaeraHome_0237,,,,"Ah, I know just the thing.",,,
Darren,MegaeraHome_,0238,MegaeraHome_0238,,,,Your next escape can wait.,,,
Integrated,MegaeraHome_,0239,MegaeraHome_0239,,,,"You miss me, Zagreus?",,,
Integrated,MegaeraHome_,0240,MegaeraHome_0240,,,,"What brings you back here, hm?",,,
Integrated,MegaeraHome_,0241,MegaeraHome_0241,,,,"What is it, Zagreus?",,,
Integrated,MegaeraHome_,0242,MegaeraHome_0242,,,,Something you need from me?,,,
Integrated,MegaeraHome_,0243,MegaeraHome_0243,,,,"May I help you, Zagreus?",,,
Integrated,MegaeraHome_,0244,MegaeraHome_0244,,,,What can I do for you?,,,
Darren,MegaeraHome_,0251,MegaeraHome_0251,,,,Very well.,,,
Integrated,MegaeraHome_,0252,MegaeraHome_0252,,,,I understand.,,,
Darren,MegaeraHome_,0253,MegaeraHome_0253,,,,Understood.,,,
Darren,MegaeraHome_,0254,MegaeraHome_0254,,,,It'll be done.,,,
Integrated,MegaeraHome_,0255,MegaeraHome_0255,,,,Yes.,,,
Darren,MegaeraHome_,0256,MegaeraHome_0256,,,,I appreciate that.,,,
Integrated,MegaeraHome_,0257,MegaeraHome_0257,,,,Appreciate it.,,,
Darren,MegaeraHome_,0258,MegaeraHome_0258,,,,I'm grateful.,,,
Integrated,MegaeraHome_,0259,MegaeraHome_0259,,,,Thank you.,,,
Integrated,MegaeraHome_,0260,MegaeraHome_0260,,,,Thanks.,,,
Darren,MegaeraHome_,0261,MegaeraHome_0261,,,,I owe you one.,,,
Darren,MegaeraHome_,0262,MegaeraHome_0262,,,,I'll find a way to repay you.,,,
Darren,MegaeraHome_,0263,MegaeraHome_0263,,,,I got you something.,,,
Darren,MegaeraHome_,0264,MegaeraHome_0264,,,,Happened to pick this up.,,,
Darren,MegaeraHome_,0265,MegaeraHome_0265,,,,This something you could use?,,,
Darren,MegaeraHome_,0266,MegaeraHome_0266,,,,"Here, thought you could use this.",,,
Darren,MegaeraHome_,0267,MegaeraHome_0267,,,,"It's nothing much, but here.",,,
Darren,MegaeraHome_,0268,MegaeraHome_0268,,,,That's unfortunate.,,,
Darren,MegaeraHome_,0269,MegaeraHome_0269,,,,Disappointing.,,,
Darren,MegaeraHome_,0270,MegaeraHome_0270,,,,I should have known.,,,
Darren,MegaeraHome_,0271,MegaeraHome_0271,,,,Such a shame.,,,
Darren,MegaeraHome_,0272,MegaeraHome_0272,,,,Ungh no way.,,,
Darren,MegaeraHome_,0273,MegaeraHome_0273,,,,What...?,,,
Darren,MegaeraHome_,0274,MegaeraHome_0274,,,,Rnnghh...,,,
Darren,MegaeraHome_,0275,MegaeraHome_0275,,,,That's... ungh...!,,,
Darren,MegaeraHome_,0276,MegaeraHome_0276,,,,"Augh, why, you...",,,
Darren,MegaeraHome_,0277,MegaeraHome_0277,,,,What is the matter with you.,,,
Darren,MegaeraHome_,0278,MegaeraHome_0278,,,,You realize what you've done?,,,
Darren,MegaeraHome_,0279,MegaeraHome_0279,,,,Unbelievable.,,,
Darren,MegaeraHome_,0280,MegaeraHome_0280,,,,I can't believe this.,,,
Integrated,MegaeraHome_,0281,MegaeraHome_0281,,,,Get away from me.,,,
Integrated,MegaeraHome_,0282,MegaeraHome_0282,,,,Leave me alone.,,,
Integrated,MegaeraHome_,0283,MegaeraHome_0283,,,,Get out of here.,,,
Darren,MegaeraHome_,0284,MegaeraHome_0284,,,,What...?,,,
Darren,MegaeraHome_,0285,MegaeraHome_0285,,,,Are you sure...?,,,
Darren,MegaeraHome_,0286,MegaeraHome_0286,,,,"Wait, really...?",,,
Darren,MegaeraHome_,0287,MegaeraHome_0287,,,,I can't believe it...,,,
Darren,MegaeraHome_,0288,MegaeraHome_0288,,,,You're sure?,,,
Integrated,MegaeraHome_,0289,MegaeraHome_0289,,,,"You did it, Zag.",,,
Darren,MegaeraHome_,0290,MegaeraHome_0290,,,,"Not bad, I have to say.",,,
Darren,MegaeraHome_,0291,MegaeraHome_0291,,,,"I didn't think you had it in you, Zag.",,,
Darren,MegaeraHome_,0292,MegaeraHome_0292,,,,Good work back there.,,,
Darren,MegaeraHome_,0293,MegaeraHome_0293,,,,That was well done.,,,
Integrated,MegaeraHome_,0294,MegaeraHome_0294,,,,Really...?,,,
Integrated,MegaeraHome_,0295,MegaeraHome_0295,,,,Really.,,,
Integrated,MegaeraHome_,0296,MegaeraHome_0296,,,,"Oh, really...",,,
Integrated,MegaeraHome_,0297,MegaeraHome_0297,,,,That is absurd.,,,
Integrated,MegaeraHome_,0298,MegaeraHome_0298,,,,You can't be serious.,,,
Integrated,MegaeraHome_,0299,MegaeraHome_0299,,,,You're serious right now?,,,
Integrated,MegaeraHome_,0300,MegaeraHome_0300,,,,What an idiot.,,,
Integrated,MegaeraHome_,0301,MegaeraHome_0301,,,,What a fool.,,,
Integrated,MegaeraHome_,0302,MegaeraHome_0302,,,,Go on.,,,
Integrated,MegaeraHome_,0303,MegaeraHome_0303,,,,And...?,,,
Integrated,MegaeraHome_,0304,MegaeraHome_0304,,,,No...,,,
Integrated,MegaeraHome_,0305,MegaeraHome_0305,,,,No...!,,,
Integrated,MegaeraHome_,0306,MegaeraHome_0306,,,,You're serious.,,,
Integrated,MegaeraHome_,0307,MegaeraHome_0307,,,,He said that?,,,
Integrated,MegaeraHome_,0308,MegaeraHome_0308,,,,He said what?,,,
Integrated,MegaeraHome_,0309,MegaeraHome_0309,,,,You did?,,,
Integrated,MegaeraHome_,0310,MegaeraHome_0310,,,,Unbelievable.,,,
Integrated,MegaeraHome_,0311,MegaeraHome_0311,,,,You don't want to know what I think.,,,
Integrated,MegaeraHome_,0312,MegaeraHome_0312,,,,"Oh, blood and darkness.",,,
Integrated,MegaeraHome_,0313,MegaeraHome_0313,,,,That's what I thought.,,,
Integrated,MegaeraHome_,0314,MegaeraHome_0314,,,,That's what I thought!,,,
Integrated,MegaeraHome_,0315,MegaeraHome_0315,,,,I know!,,,
Integrated,MegaeraHome_,0316,MegaeraHome_0316,,,,"Ugh, seriously.",,,
Integrated,MegaeraHome_,0317,MegaeraHome_0317,,,,"Yes, well...",,,
Integrated,MegaeraHome_,0318,MegaeraHome_0318,,,,What can you do...,,,
Integrated,MegaeraHome_,0319,MegaeraHome_0319,,,,Oh that's too bad.,,,
Integrated,MegaeraHome_,0320,MegaeraHome_0320,,,,"Tsk, oh...",,,
Integrated,MegaeraHome_,0321,MegaeraHome_0321,,,,That's unfortunate.,,,
Integrated,MegaeraHome_,0322,MegaeraHome_0322,,,,Wow.,,,
Integrated,MegaeraHome_,0323,MegaeraHome_0323,,,,What?,,,
Integrated,MegaeraHome_,0324,MegaeraHome_0324,,,,What?!,,,
Integrated,MegaeraHome_,0325,MegaeraHome_0325,,,,<Scoff>,,,
Integrated,MegaeraHome_,0326,MegaeraHome_0326,,,,You did?,,,
Integrated,MegaeraHome_,0327,MegaeraHome_0327,,,,You really said that?,,,
Integrated,MegaeraHome_,0328,MegaeraHome_0328,,,,Oh I don't know.,,,
Integrated,MegaeraHome_,0329,MegaeraHome_0329,,,,"I mean, I guess.",,,
Integrated,MegaeraHome_,0330,MegaeraHome_0330,,,,"I know, I know.",,,
Integrated,MegaeraHome_,0331,MegaeraHome_0331,,,,"Look, I...",,,
Integrated,MegaeraHome_,0332,MegaeraHome_0332,,,,It's totally all right.,,,
Integrated,MegaeraHome_,0333,MegaeraHome_0333,,,,"I understand, it's fine.",,,
Unused,MegaeraHome_,0334,MegaeraHome_0334,,,,"What is this, Zagreus.",,,
Integrated,MegaeraHome_,0335,MegaeraHome_0335,,,,"How very thoughtful, I guess?",,,
Unused,MegaeraHome_,0336,MegaeraHome_0336,,,,Now what is this supposed to be.,,,
Unused,MegaeraHome_,0337,MegaeraHome_0337,,,,"Uh, Zagreus, who do you take me for?",,,
Unused,MegaeraHome_,0338,MegaeraHome_0338,,,,I don't know why you're giving this to me.,,,
Unused,MegaeraHome_,0339,MegaeraHome_0339,,,,If that's really want you want.,,,
Unused,MegaeraHome_,0340,MegaeraHome_0340,,,,"Don't think I can accept this, Zagrues.",,,
Unused,MegaeraHome_,0341,MegaeraHome_0341,,,,"You know, I think I'd better not.",,,
Unused,MegaeraHome_,0342,MegaeraHome_0342,,,,Something tells me I had better not.,,,
Unused,MegaeraHome_,0343,MegaeraHome_0343,,,,It pains me but I need to ask a favor.,,,
Integrated,MegaeraHome_,0344,MegaeraHome_0344,,,,"I need to trouble you for something, Zag.",,,
Integrated,MegaeraHome_,0345,MegaeraHome_0345,,,,,,,
Integrated,MegaeraHome_,0346,MegaeraHome_0346,,,,,,,
Darren,MegaeraHome_,0347,MegaeraHome_0347,,,,,,,
Darren,MegaeraHome_,0348,MegaeraHome_0348,,,,,,,
Darren,MegaeraHome_,0349,MegaeraHome_0349,,,,,,,
Integrated,MegaeraHome_,0350,MegaeraHome_0350,,,,,,,
Integrated,MegaeraHome_,0351,MegaeraHome_0351,,,,,,,
Integrated,MegaeraHome_,0355,MegaeraHome_0355,,,,,,,
Integrated,MegaeraHome_,0356,MegaeraHome_0356,,,,,,,
Integrated,MegaeraHome_,0357,MegaeraHome_0357,,,,,,,
Integrated,MegaeraHome_,0358,MegaeraHome_0358,,,,,,,
Integrated,MegaeraHome_,0359,MegaeraHome_0359,,,,,,,
Integrated,MegaeraHome_,0360,MegaeraHome_0360,,,,You're right. And same to you.,,,
Integrated,MegaeraHome_,0368,MegaeraHome_0368,,,,I hope you do.,,,
Integrated,MegaeraHome_,0378,MegaeraHome_0378,,,,"This never should have happened, Zagreus.",,,
Integrated,MegaeraHome_,0395,MegaeraHome_0395,,,,Heh. Guess you'll find out.,,,
Integrated,MegaeraHome_,0403,MegaeraHome_0403,,,,"You know, that's a good way to put it.",,,
Integrated,MegaeraHome_,0408,MegaeraHome_0408,,,,"None of my business, I said.",,,
Integrated,MegaeraHome_,0416,MegaeraHome_0416,,,,Heh. As you say.,,,
Integrated,MegaeraHome_,0421,MegaeraHome_0421,,,,You always do.,,,
