ZagreusField,ID,ID,ID,,,,Line,,,Notes by DK
Integrated,ZagreusField_,0090,ZagreusField_0090,,,,Not now!,,,
Integrated,ZagreusField_,0091,ZagreusField_0091,,,,Now...,,,
Integrated,ZagreusField_,0092,ZagreusField_0092,,,,There it is.,,,
Integrated,ZagreusField_,0093,ZagreusField_0093,,,,You asked for this!,,,
Integrated,ZagreusField_,0094,ZagreusField_0094,,,,You had your chance!,,,
Integrated,ZagreusField_,0095,ZagreusField_0095,,,,Enough of this crap!,,,
Integrated,ZagreusField_,0096,ZagreusField_0096,,,,All right that's it!,,,
Integrated,ZagreusField_,0097,ZagreusField_0097,,,,That does it!,,,
Integrated,ZagreusField_,0098,ZagreusField_0098a,,,,Get out of my WAY!,,,
Integrated,ZagreusField_,0099,ZagreusField_0099b,,,,You know who you're dealing with?,,,
Integrated,ZagreusField_,0100,ZagreusField_0100,,,,Let me see...,,,
Integrated,ZagreusField_,0101,ZagreusField_0101a,,,,Where now...?,,,
Integrated,ZagreusField_,0102,ZagreusField_0102,,,,Which way...,,,
Integrated,ZagreusField_,0103,ZagreusField_0103,,,,"What is it, Shade?",,,
Integrated,ZagreusField_,0104,ZagreusField_0104,,,,"What news, Spirit?",,,
Greg,ZagreusField_,0105,ZagreusField_0105,,,,"Tell me something, Wraith.",,,
Integrated,ZagreusField_,0106,ZagreusField_0106,,,,A gift.,,,
Integrated,ZagreusField_,0107,ZagreusField_0107,,,,The gods have spoken.,,,
Integrated,ZagreusField_,0108,ZagreusField_0108a,,,,"You like that, you gods?",,,
Integrated,ZagreusField_,0109,ZagreusField_0109,,,,There's something.,,,
Integrated,ZagreusField_,0110,ZagreusField_0110,,,,What do we have here.,,,
Integrated,ZagreusField_,0111,ZagreusField_0111,,,,Thank the gods.,,,
Integrated,ZagreusField_,0112,ZagreusField_0112,,,,I feel stronger.,,,
Integrated,ZagreusField_,0113,ZagreusField_0113,,,,I accept this gift.,,,
Integrated,ZagreusField_,0114,ZagreusField_0114,,,,"Come on, then.",,,
Integrated,ZagreusField_,0115,ZagreusField_0115,,,,Very good.,,,
Integrated,ZagreusField_,0116,ZagreusField_0116,,,,Better.,,,
Integrated,ZagreusField_,0117,ZagreusField_0117,,,,Good.,,,
Integrated,ZagreusField_,0118,ZagreusField_0118b,,,,Should come in handy.,,,
Greg,ZagreusField_,0119,ZagreusField_0119,,,,Noxious fields.,,,
Greg,ZagreusField_,0120,ZagreusField_0120,,,,Best watch my step.,,,
Greg,ZagreusField_,0121,ZagreusField_0121,,,,Nothing here.,,,
Integrated,ZagreusField_,0122,ZagreusField_0122,,,,Darkness...,,,
Greg,ZagreusField_,0123,ZagreusField_0123,,,,Got to be careful here.,,,
Integrated,ZagreusField_,0124,ZagreusField_0124,,,,I hear something.,,,
Greg,ZagreusField_,0125,ZagreusField_0125,,,,The damned are watching.,,,
Integrated,ZagreusField_,0126,ZagreusField_0126,,,,Something's here.,,,
Integrated,ZagreusField_,0127,ZagreusField_0127,,,,You. Come to fulfill my father's wishes?,,,
Integrated,ZagreusField_,0128,ZagreusField_0128,,,,"You. Come, let's dance.",,,
Integrated,ZagreusField_,0129,ZagreusField_0129,,,,My fate is mine.,,,
Integrated,ZagreusField_,0130,ZagreusField_0130,,,,I won't have it.,,,
Integrated,ZagreusField_,0131,ZagreusField_0131,,,,I have a better idea.,,,
Integrated,ZagreusField_,0132,ZagreusField_0132,,,,Let's try this instead.,,,
Integrated,ZagreusField_,0133,ZagreusField_0133,,,,That's better.,,,
Integrated,ZagreusField_,0134,ZagreusField_0134,,,,Hmm.,,,
Integrated,ZagreusField_,0135,ZagreusField_0135,,,,Good.,,,
Integrated,ZagreusField_,0136,ZagreusField_0136,,,,"Come on, Meg. Haven't we had more than enough of each other by now? Besides, I heard Sisyphus was feeling rather lonesome.",,,
Integrated,ZagreusField_,0139,ZagreusField_0139,,,,"...Well, I had to ask.",,,
Integrated,ZagreusField_,0140,ZagreusField_0140,,,,"Erm... all right then, carry on, I guess.",,,
Integrated,ZagreusField_,0141,ZagreusField_0141,,,,"Are you Eurydice, by any chance...? A mutual friend told me to seek you out. I've a message from Orpheus. He says he's very sorry about what happened. And believe me, I can tell he is.",,,
Unused,ZagreusField_,0142,ZagreusField_0142,,,,"Oh, you know, just out on a little stroll is all. Do me a favor, though, you see the Fury Sisters, let them know I was headed down the way I came from, will you...? Though, here, let me give you a hand.",,,
Integrated,ZagreusField_,0144,ZagreusField_0144,,,,"Feeling's mutual, Sir. Someday you'll have to tell me all about how you tricked Father. I might learn a thing or two. Now here, though, let me help you up.",,,
Integrated,ZagreusField_,0146,ZagreusField_0146,,,,Up there. Contract shipment must've gotten lost.,,,
Integrated,ZagreusField_,0147,ZagreusField_0147,,,,Time to make some changes around here.,,,
Integrated,ZagreusField_,0148,ZagreusField_0148,,,,I need a weapon.,,,
Integrated,ZagreusField_,0149,ZagreusField_0149,,,,Better arm myself.,,,
Integrated,ZagreusField_,0150,ZagreusField_0150,,,,Where'd that come from...? Achilles?,,,
Integrated,ZagreusField_,0151,ZagreusField_0151,,,,"Stygius, Blade of the Underworld; I need your strength.",,,
Integrated,ZagreusField_,0152,ZagreusField_0152,,,,"Aegis, Shield of Chaos; lend me your power.",,,
Integrated,ZagreusField_,0153,ZagreusField_0153,,,,"Varatha, the Eternal Spear; join my pursuit.",,,
Integrated,ZagreusField_,0154,ZagreusField_0154,,,,"Coronacht, the Heart-Seeker; let's deal some death.",,,
Integrated,ZagreusField_,0156,ZagreusField_0156,,,,Think I'll try this one.,,,
Integrated,ZagreusField_,0157,ZagreusField_0157,,,,Something's off...,,,
Integrated,ZagreusField_,0158,ZagreusField_0158,,,,Something's amiss...,,,
Integrated,ZagreusField_,0159,ZagreusField_0159,,,,Uh oh...,,,
Integrated,ZagreusField_,0160,ZagreusField_0160,,,,Looks like I've a choice to make.,,,
Integrated,ZagreusField_,0161,ZagreusField_0161,,,,The gods want me to pick a favorite?,,,
Integrated,ZagreusField_,0162,ZagreusField_0162,,,,The gods want me to choose.,,,
Integrated,ZagreusField_,0163,ZagreusField_0163,,,,"Apologies, Athena.",,,
Integrated,ZagreusField_,0164,ZagreusField_0164,,,,"Sorry, Lord Zeus.",,,
Integrated,ZagreusField_,0165,ZagreusField_0165,,,,"I'm sorry, Uncle.",,,
Integrated,ZagreusField_,0166,ZagreusField_0166,,,,"Sorry, Dionysus.",,,
Integrated,ZagreusField_,0167,ZagreusField_0167,,,,Damned either way I guess.,,,
Integrated,ZagreusField_,0168,ZagreusField_0168,,,,So that's the way it is then.,,,
Integrated,ZagreusField_,0169,ZagreusField_0169,,,,I angered her I guess.,,,
Integrated,ZagreusField_,0170,ZagreusField_0170,,,,I angered him I guess.,,,
Integrated,ZagreusField_,0171,ZagreusField_0171,,,,Looks like I angered her.,,,
Integrated,ZagreusField_,0172,ZagreusField_0172,,,,Looks like I angered him.,,,
Integrated,ZagreusField_,0173,ZagreusField_0173,,,,"Be seeing you around, Meg.",,,
Integrated,ZagreusField_,0174,ZagreusField_0174,,,,"Got you that time, Meg.",,,
Integrated,ZagreusField_,0175,ZagreusField_0175,,,,Got you.,,,
Integrated,ZagreusField_,0176,ZagreusField_0176,,,,In the name of Hades.,,,
Integrated,ZagreusField_,0177,ZagreusField_0177,,,,Time for a change.,,,
Integrated,ZagreusField_,0178,ZagreusField_0178,,,,"Hear me, on my authority.",,,
Integrated,ZagreusField_,0179,ZagreusField_0179,,,,"Thank you, mate.",,,
Integrated,ZagreusField_,0180,ZagreusField_0180,,,,"Always a pleasure, Charon.",,,
Integrated,ZagreusField_,0181,ZagreusField_0181,,,,"Don't spend it all in one place, mate.",,,
Integrated,ZagreusField_,0182,ZagreusField_0182,,,,Pleasure doing business.,,,
Integrated,ZagreusField_,0183,ZagreusField_0183,,,,Farthest I've come.,,,
Integrated,ZagreusField_,0184,ZagreusField_0184,,,,Never gone this far.,,,
Integrated,ZagreusField_,0185,ZagreusField_0185,,,,I'm trapped...!,,,
Integrated,ZagreusField_,0186,ZagreusField_0186,,,,"Then, here we go...",,,
Integrated,ZagreusField_,0187,ZagreusField_0187,,,,"Think you got me, do you?",,,
Integrated,ZagreusField_,0188,ZagreusField_0188,,,,Almost there...,,,
Integrated,ZagreusField_,0189,ZagreusField_0189,,,,Few more moments...,,,
Integrated,ZagreusField_,0190,ZagreusField_0190,,,,Got to hold on...,,,
Integrated,ZagreusField_,0191,ZagreusField_0191,,,,Well that's better!,,,
Integrated,ZagreusField_,0192,ZagreusField_0192,,,,There we are.,,,
Integrated,ZagreusField_,0193,ZagreusField_0193,,,,Peace and quiet.,,,
Integrated,ZagreusField_,0194,ZagreusField_0194,,,,Let me have it.,,,
Integrated,ZagreusField_,0195,ZagreusField_0195,,,,Going in.,,,
Integrated,ZagreusField_,0196,ZagreusField_0196,,,,Hit me.,,,
Integrated,ZagreusField_,0197,ZagreusField_0197,,,,I can take it.,,,
Integrated,ZagreusField_,0198,ZagreusField_0198,,,,Might as well.,,,
Integrated,ZagreusField_,0199,ZagreusField_0199,,,,All right.,,,
Integrated,ZagreusField_,0200,ZagreusField_0200,,,,Huh...,,,
Integrated,ZagreusField_,0201,ZagreusField_0201,,,,Interesting.,,,
Integrated,ZagreusField_,0202,ZagreusField_0202,,,,Where in the...,,,
Integrated,ZagreusField_,0203,ZagreusField_0203,,,,Let's see...,,,
Integrated,ZagreusField_,0204,ZagreusField_0204,,,,Well then...,,,
Integrated,ZagreusField_,0205,ZagreusField_0205,,,,All right then.,,,
Integrated,ZagreusField_,0206,ZagreusField_0206,,,,Oof.,,,
Integrated,ZagreusField_,0207,ZagreusField_0207,,,,I'm in no shape.,,,
Integrated,ZagreusField_,0208,ZagreusField_0208,,,,I'm too scratched up.,,,
Integrated,ZagreusField_,0209,ZagreusField_0209,,,,Took a beating I guess.,,,
Integrated,ZagreusField_,0210,ZagreusField_0210,,,,Not letting me in.,,,
Integrated,ZagreusField_,0211,ZagreusField_0211,,,,Seriously?,,,
Integrated,ZagreusField_,0212,ZagreusField_0212,,,,Ahh heaven.,,,
Integrated,ZagreusField_,0213,ZagreusField_0213,,,,I'll take what's mine.,,,
Integrated,ZagreusField_,0214,ZagreusField_0214,,,,Open up.,,,
Integrated,ZagreusField_,0215,ZagreusField_0215,,,,"You lot, huh?",,,
Unused,ZagreusField_,0216,ZagreusField_0216,,,,That trove is mine.,,,
Integrated,ZagreusField_,0217,ZagreusField_0217,,,,Come and get it.,,,
Integrated,ZagreusField_,0218,ZagreusField_0218,,,,Let's make this quick.,,,
Integrated,ZagreusField_,0219,ZagreusField_0219,,,,No time to lose.,,,
Integrated,ZagreusField_,0220,ZagreusField_0220,,,,Finally.,,,
Integrated,ZagreusField_,0221,ZagreusField_0221,,,,That's that.,,,
Integrated,ZagreusField_,0222,ZagreusField_0222,,,,Now to collect.,,,
Greg,ZagreusField_,0223,ZagreusField_0223,,,,Should be open now.,,,
Integrated,ZagreusField_,0224,ZagreusField_0224,,,,There we go.,,,
Integrated,ZagreusField_,0225,ZagreusField_0225,,,,Over there.,,,
Integrated,ZagreusField_,0226,ZagreusField_0226,,,,There.,,,
Integrated,ZagreusField_,0227,ZagreusField_0227,,,,Right there.,,,
Integrated,ZagreusField_,0228,ZagreusField_0228,,,,Very nice.,,,
Integrated,ZagreusField_,0229,ZagreusField_0229,,,,Nice.,,,
Integrated,ZagreusField_,0230,ZagreusField_0230,,,,Excellent.,,,
Integrated,ZagreusField_,0231,ZagreusField_0231,,,,Good enough.,,,
Integrated,ZagreusField_,0232,ZagreusField_0232,,,,I'll take it.,,,
Integrated,ZagreusField_,0233,ZagreusField_0233,,,,All mine.,,,
Integrated,ZagreusField_,0234,ZagreusField_0234,,,,Thank you Father.,,,
Integrated,ZagreusField_,0235,ZagreusField_0235,,,,I'll just help myself.,,,
Integrated,ZagreusField_,0236,ZagreusField_0236,,,,Cheers.,,,
Integrated,ZagreusField_,0237,ZagreusField_0237,,,,There's too much heat.,,,
Integrated,ZagreusField_,0238,ZagreusField_0238,,,,Not yet.,,,
Integrated,ZagreusField_,0239,ZagreusField_0239,,,,Not yet!,,,
Greg,ZagreusField_,0240,ZagreusField_0240,,,,Ow.,,,
Greg,ZagreusField_,0241,ZagreusField_0241,,,,Ow!,,,
Greg,ZagreusField_,0242,ZagreusField_0242,,,,Ah.,,,
Greg,ZagreusField_,0243,ZagreusField_0243,,,,Ah!,,,
Integrated,ZagreusField_,0244,ZagreusField_0244,,,,Can't escape!,,,
Integrated,ZagreusField_,0245,ZagreusField_0245,,,,No escape!,,,
Integrated,ZagreusField_,0246,ZagreusField_0246,,,,Got to fight!,,,
Integrated,ZagreusField_,0247,ZagreusField_0247,,,,Stuck!,,,
Integrated,ZagreusField_,0248,ZagreusField_0248,,,,No use!,,,
Integrated,ZagreusField_,0249,ZagreusField_0249,,,,It's no use!,,,
Integrated,ZagreusField_,0250,ZagreusField_0250,,,,Oh right.,,,
Integrated,ZagreusField_,0251,ZagreusField_0251,,,,Forgot something.,,,
Integrated,ZagreusField_,0252,ZagreusField_0252,,,,Still shut.,,,
Integrated,ZagreusField_,0253,ZagreusField_0253,,,,Still shut?,,,
Integrated,ZagreusField_,0254,ZagreusField_0254,,,,What now.,,,
Integrated,ZagreusField_,0255,ZagreusField_0255,,,,What now?,,,
Integrated,ZagreusField_,0256,ZagreusField_0256,,,,Better stock up.,,,
Integrated,ZagreusField_,0257,ZagreusField_0257,,,,Must be something I can use.,,,
Integrated,ZagreusField_,0258,ZagreusField_0258,,,,OK...,,,
Integrated,ZagreusField_,0259,ZagreusField_0259,,,,Got to keep going.,,,
Integrated,ZagreusField_,0260,ZagreusField_0260,,,,Up we go then.,,,
Integrated,ZagreusField_,0261,ZagreusField_0261,,,,Getting warmer.,,,
Integrated,ZagreusField_,0262,ZagreusField_0262,,,,Now we're getting somewhere.,,,
Integrated,ZagreusField_,0263,ZagreusField_0263,,,,Change of scenery at least.,,,
Integrated,ZagreusField_,0264,ZagreusField_0264,,,,The Asphodel Meadows...,,,
Integrated,ZagreusField_,0265,ZagreusField_0265,,,,Made it to Asphodel...,,,
Integrated,ZagreusField_,0266,ZagreusField_0266,,,,Over there...,,,
Integrated,ZagreusField_,0267,ZagreusField_0267,,,,All clear.,,,
Integrated,ZagreusField_,0268,ZagreusField_0268,,,,OK.,,,
Integrated,ZagreusField_,0269,ZagreusField_0269,,,,Whew.,,,
Integrated,ZagreusField_,0270,ZagreusField_0270,,,,All set.,,,
Integrated,ZagreusField_,0271,ZagreusField_0271,,,,Time to collect.,,,
Integrated,ZagreusField_,0272,ZagreusField_0272,,,,I'll take it.,,,
Integrated,ZagreusField_,0273,ZagreusField_0273,,,,Mine.,,,
Integrated,ZagreusField_,0274,ZagreusField_0274,,,,Moving on.,,,
Integrated,ZagreusField_,0275,ZagreusField_0275,,,,Mmm-hm.,,,
Integrated,ZagreusField_,0276,ZagreusField_0276,,,,I'll take that.,,,
Integrated,ZagreusField_,0277,ZagreusField_0277,,,,Sure.,,,
Integrated,ZagreusField_,0278,ZagreusField_0278,,,,Right.,,,
Unused,ZagreusField_,0279,ZagreusField_0279,,,,"Hey, boys.",,,
Unused,ZagreusField_,0280,ZagreusField_0280,,,,"Let's go, boys.",,,
Unused,ZagreusField_,0281,ZagreusField_0281,,,,"Ready, boys?",,,
Unused,ZagreusField_,0282,ZagreusField_0282,,,,Right here we go.,,,
Unused,ZagreusField_,0283,ZagreusField_0283,,,,You boys again huh.,,,
Integrated,ZagreusField_,0284,ZagreusField_0284,,,,Look at this...,,,
Integrated,ZagreusField_,0285,ZagreusField_0285,,,,Wow...,,,
Integrated,ZagreusField_,0286,ZagreusField_0286,,,,What a find.,,,
Integrated,ZagreusField_,0287,ZagreusField_0287,,,,Oh...,,,
Integrated,ZagreusField_,0288,ZagreusField_0288,,,,A souvenir.,,,
Integrated,ZagreusField_,0289,ZagreusField_0289,,,,I'm fading!,,,
Integrated,ZagreusField_,0290,ZagreusField_0290,,,,"Ugh, no!",,,
Integrated,ZagreusField_,0291,ZagreusField_0291,,,,Not good!,,,
Integrated,ZagreusField_,0292,ZagreusField_0292,,,,Aughh!,,,
Integrated,ZagreusField_,0293,ZagreusField_0293,,,,No no no!,,,
Integrated,ZagreusField_,0294,ZagreusField_0294,,,,Not dead yet!,,,
Integrated,ZagreusField_,0295,ZagreusField_0295,,,,"Ha, hah...",,,
Integrated,ZagreusField_,0296,ZagreusField_0296,,,,Just getting warmed up.,,,
Integrated,ZagreusField_,0297,ZagreusField_0297,,,,Now we're talking.,,,
Integrated,ZagreusField_,0298,ZagreusField_0298,,,,Fired up.,,,
Integrated,ZagreusField_,0299,ZagreusField_0299,,,,That's a relief.,,,
Integrated,ZagreusField_,0300,ZagreusField_0300,,,,Much better.,,,
Integrated,ZagreusField_,0301,ZagreusField_0301,,,,There we go.,,,
Integrated,ZagreusField_,0302,ZagreusField_0302,,,,Mmph.,,,
Integrated,ZagreusField_,0303,ZagreusField_0303,,,,Whew...,,,
Integrated,ZagreusField_,0304,ZagreusField_0304,,,,Die.,,,
Integrated,ZagreusField_,0305,ZagreusField_0305,,,,Die!,,,
Integrated,ZagreusField_,0306,ZagreusField_0306,,,,Out.,,,
Integrated,ZagreusField_,0307,ZagreusField_0307,,,,Fool.,,,
Integrated,ZagreusField_,0308,ZagreusField_0308,,,,Useless.,,,
Integrated,ZagreusField_,0309,ZagreusField_0309,,,,What now!,,,
Integrated,ZagreusField_,0310,ZagreusField_0310,,,,Like that?,,,
Integrated,ZagreusField_,0311,ZagreusField_0311,,,,Suffer.,,,
Integrated,ZagreusField_,0312,ZagreusField_0312,,,,You're mine.,,,
Integrated,ZagreusField_,0313,ZagreusField_0313,,,,Weak.,,,
Integrated,ZagreusField_,0314,ZagreusField_0314,,,,Weak!,,,
Integrated,ZagreusField_,0315,ZagreusField_0315,,,,Wretch.,,,
Integrated,ZagreusField_,0316,ZagreusField_0316,,,,What now.,,,
Integrated,ZagreusField_,0317,ZagreusField_0317,,,,Enough.,,,
Integrated,ZagreusField_,0318,ZagreusField_0318,,,,Look who.,,,
Integrated,ZagreusField_,0319,ZagreusField_0319,,,,Always a pleasure.,,,
Integrated,ZagreusField_,0320,ZagreusField_0320,,,,Hello mates.,,,
Integrated,ZagreusField_,0321,ZagreusField_0321,,,,Have a nice death.,,,
Integrated,ZagreusField_,0322,ZagreusField_0322,,,,Surprise.,,,
Integrated,ZagreusField_,0323,ZagreusField_0323,,,,So much for them.,,,
Integrated,ZagreusField_,0324,ZagreusField_0324,,,,"Hi, Meg.",,,
Unused,ZagreusField_,0325,ZagreusField_0325,,,,Greetings Megaera.,,,
Integrated,ZagreusField_,0326,ZagreusField_0326,,,,Hey there Meg.,,,
Integrated,ZagreusField_,0327,ZagreusField_0327,,,,Yes!,,,
Integrated,ZagreusField_,0328,ZagreusField_0328,,,,Yes.,,,
Integrated,ZagreusField_,0329,ZagreusField_0329,,,,I did it!,,,
Integrated,ZagreusField_,0330,ZagreusField_0330,,,,I did it.,,,
Integrated,ZagreusField_,0331,ZagreusField_0331,,,,Don't think I've gone this far.,,,
Integrated,ZagreusField_,0332,ZagreusField_0332,,,,This the farthest I've come?,,,
Integrated,ZagreusField_,0333,ZagreusField_0333,,,,Made it this far.,,,
Integrated,ZagreusField_,0334,ZagreusField_0334,,,,Long way from home.,,,
Integrated,ZagreusField_,0335,ZagreusField_0335,,,,Never been this far.,,,
Integrated,ZagreusField_,0336,ZagreusField_0336,,,,Time to pick sides.,,,
Integrated,ZagreusField_,0337,ZagreusField_0337,,,,They're making me choose.,,,
Integrated,ZagreusField_,0338,ZagreusField_0338,,,,One of them's going to be mad.,,,
Integrated,ZagreusField_,0339,ZagreusField_0339,,,,One of them's not going to like this.,,,
Integrated,ZagreusField_,0340,ZagreusField_0340,,,,Hey mate.,,,
Integrated,ZagreusField_,0341,ZagreusField_0341,,,,Just passing through.,,,"We didn't make this note at the time, maybe the next line?"
Integrated,ZagreusField_,0342,ZagreusField_0342,,,,How's it going?,,,
Greg,ZagreusField_,0343,ZagreusField_0343,,,,What news?,,,
Integrated,ZagreusField_,0344,ZagreusField_0344,,,,Hey there.,,,
Integrated,ZagreusField_,0345,ZagreusField_0345,,,,Hey Skelly.,,,
Integrated,ZagreusField_,0346,ZagreusField_0346,,,,"If you insist, mate.",,,
Integrated,ZagreusField_,0348,ZagreusField_0348,,,,"Another day in Tartarus. Or night, I have no idea.",,,
Integrated,ZagreusField_,0349,ZagreusField_0349,,,,...I can do this.,,,
Integrated,ZagreusField_,0350,ZagreusField_0350,,,,"First, get past the wretched shades of Tartarus.",,,
Integrated,ZagreusField_,0351,ZagreusField_0351,,,,"Easier said than done, and doubtless I'll be running into Meg.",,,
Integrated,ZagreusField_,0352,ZagreusField_0352,,,,The river of flame ought to be just beyond.,,,
