Nyx,ID,ID,ID,,,,Line,,Notes by AR,Notes by DK
Integrated,Nyx_,0214,Nyx_0214,,,,There you are.,,,
Integrated,Nyx_,0215,Nyx_0215,,,,You have done well.,,,
Integrated,Nyx_,0216,Nyx_0216,,,,You broke free.,,,
Integrated,Nyx_,0217,Nyx_0217,,,,You reached the surface...,,,
Integrated,Nyx_,0218,Nyx_0218,,,,Did you find her?,,,
Integrated,Nyx_,0219,Nyx_0219,,,,Well done.,,,
Integrated,Nyx_,0220,Nyx_0220,,,,At last.,,,
Integrated,Nyx_,0221,Nyx_0221,,,,A word.,,,
Integrated,Nyx_,0222,Nyx_0222,,,,"A word, child?",,,
Integrated,Nyx_,0223,Nyx_0223,,,,"A word, please.",,,
Darren,Nyx_,0224,Nyx_0224,,,,Hold a moment.,,,
Integrated,Nyx_,0225,Nyx_0225,,,,A moment.,,,
Darren,Nyx_,0226,Nyx_0226,,,,Here.,,,
Integrated,Nyx_,0227,Nyx_0227,,,,Child?,,,
Darren,Nyx_,0228,Nyx_0228,,,,"Night and Darkness, guide you.",,,
Darren,Nyx_,0229,Nyx_0229,,,,It shall be done.,,,
Darren,Nyx_,0230,Nyx_0230,,,,As you say.,,,
Darren,Nyx_,0231,Nyx_0231,,,,As you will.,,,
Integrated,Nyx_,0232,Nyx_0232,,,,So shall it be.,,,
Darren,Nyx_,0233,Nyx_0233,,,,It shall be so.,,,
Integrated,Nyx_,0234,Nyx_0234,,,,Very well.,,,
Integrated,Nyx_,0235,Nyx_0235,,,,Then very well.,,,
Darren,Nyx_,0236,Nyx_0236,,,,As you wish.,,,
Darren,Nyx_,0237,Nyx_0237,,,,As you will.,,,
Integrated,Nyx_,0238,Nyx_0238,,,,I am grateful.,,,
Integrated,Nyx_,0239,Nyx_0239,,,,You have my gratitude.,,,
Integrated,Nyx_,0240,Nyx_0240,,,,"Thank you, my child.",,,
Darren,Nyx_,0241,Nyx_0241,,,,"It is appreciated, child.",,,
Integrated,Nyx_,0242,Nyx_0242,,,,"I thank you for this, child.",,,
Integrated,Nyx_,0243,Nyx_0243,,,,You are too kind.,,,
Integrated,Nyx_,0244,Nyx_0244,,,,How very kind of you.,,,
Integrated,Nyx_,0245,Nyx_0245,,,,"How very thoughtful, child.",,,
Darren,Nyx_,0246,Nyx_0246,,,,I have something for you.,,,
Darren,Nyx_,0247,Nyx_0247,,,,This is for you.,,,
Darren,Nyx_,0248,Nyx_0248,,,,This belongs to you.,,,
Darren,Nyx_,0249,Nyx_0249,,,,"For you, my child.",,,
Darren,Nyx_,0250,Nyx_0250,,,,"Please take this, child.",,,
Darren,Nyx_,0251,Nyx_0251,,,,"Please, this is yours.",,,
Darren,Nyx_,0252,Nyx_0252,,,,For you.,,,
Darren,Nyx_,0253,Nyx_0253,,,,Here.,,,
Darren,Nyx_,0254,Nyx_0254,,,,There.,,,
Integrated,Nyx_,0255,Nyx_0255,,,,Mmm.,,,
Darren,Nyx_,0256,Nyx_0256,,,,Yours.,,,
Darren,Nyx_,0257,Nyx_0257,,,,Grow.,,,
Darren,Nyx_,0258,Nyx_0258,,,,Darkness.,,,
Darren,Nyx_,0259,Nyx_0259,,,,That is unfortunate.,,,
Darren,Nyx_,0260,Nyx_0260,,,,An undesired outcome.,,,
Integrated,Nyx_,0261,Nyx_0261,,,,The Fates have been unkind.,,,
Integrated,Nyx_,0262,Nyx_0262,,,,Another setback to be overcome.,,,
Darren,Nyx_,0263,Nyx_0263,,,,How disappointing.,,,
Darren,Nyx_,0264,Nyx_0264,,,,I feared this would occur.,,,
Darren,Nyx_,0265,Nyx_0265,,,,I am displeased.,,,
Darren,Nyx_,0266,Nyx_0266,,,,I certainly do not approve of this.,,,
Darren,Nyx_,0267,Nyx_0267,,,,You would be wiser not to test my patience thus.,,,
Integrated,Nyx_,0268,Nyx_0268,,,,It is unwise to thusly anger me.,,,
Darren,Nyx_,0269,Nyx_0269,,,,Such utter carelessness.,,,
Darren,Nyx_,0270,Nyx_0270,,,,Such actions I cannot abide.,,,
Darren,Nyx_,0271,Nyx_0271,,,,A truly senseless act.,,,
Darren,Nyx_,0272,Nyx_0272,,,,"Please leave me for now, child.",,,
Integrated,Nyx_,0273,Nyx_0273,,,,Please leave me be.,,,
Darren,Nyx_,0274,Nyx_0274,,,,I wish to be left alone.,,,
Darren,Nyx_,0275,Nyx_0275,,,,Truly...?,,,
Darren,Nyx_,0276,Nyx_0276,,,,By the Darkness...,,,
Darren,Nyx_,0277,Nyx_0277,,,,Can it be...?,,,
Darren,Nyx_,0278,Nyx_0278,,,,But this cannot be.,,,
Darren,Nyx_,0279,Nyx_0279,,,,Are you most certain...?,,,
Darren,Nyx_,0280,Nyx_0280,,,,I scarce believe it...,,,
Darren,Nyx_,0281,Nyx_0281,,,,Can it be true...?,,,
Darren,Nyx_,0282,Nyx_0282,,,,I knew that you were more than capable.,,,
Integrated,Nyx_,0283,Nyx_0283,,,,I never doubted you.,,,
Integrated,Nyx_,0284,Nyx_0284,,,,I had envisioned that you would succeed.,,,
Integrated,Nyx_,0285,Nyx_0285,,,,Excellently done.,,,
Integrated,Nyx_,0286,Nyx_0286,,,,Skillfully executed work.,,,
Unused,Nyx_,0287,Nyx_0287,,,,"Your father fell to you, as once his father fell to him. Although, you were substantially more merciful. I know it is a bitter victory, at best. Though, tell me, more importantly, then... did you find her? Beyond a path well hidden even from me?",,,
Unused,Nyx_,0288,Nyx_0288,,,,"You may yet ask them, child. If you were able to locate her once... is it not true that you could do so once again? Go, ask your questions of her, all of them. As many chances as it takes.",,,
Unused,Nyx_,0289,Nyx_0289,,,,"You can. You already have. Go find her, child. She cannot risk returning here. But she awaits you, now.",,,
Unused,Nyx_,0290,Nyx_0290,,,,"My child... it is difficult for me to say this, but... I simply did not know. My influence extends up to the surface, yes. But I have never been there for myself. So I did not anticipate that it would have such an effect on you. It seems to me you share your father's fate.",,,
Unused,Nyx_,0291,Nyx_0291,,,,"So I now presume. You are bound to this realm by powers even greater than my own. Tell me something... if you knew you that could only see Persephone for but a moment's time... would you still make the journey to her, there?",,,
Unused,Nyx_,0292,Nyx_0292,,,,"Then, steady your resolve, and find her there, again. And use well what brief time you have with one another, whilst you can. As mortals do.",,,
Integrated,Nyx_,0293,Nyx_0293,,,,Wait...,,,
Unused,Nyx_,0294,Nyx_0294,,,,"Child, quickly now, before you go. Although I know your time upon the surface is too brief, should you even achieve your goal, at all... would you please tell Persephone that I was true to her? And, that I think fondly on the time she spent with us? Please tell her that, for me.",,,
Unused,Nyx_,0295,Nyx_0295,,,,"She did not feel that she belonged, I think. It was a very difficult adjustment she was forced to make. And... she feared that she would inevitably end up caught between Olympus and this realm. That she might start a war.",,,
Integrated,Nyx_,0298,Nyx_0298,,,,"Thank you, my son.",,,
Integrated,Nyx_,0303,Nyx_0303,,,,"Together, let us find out.",,,
Integrated,Nyx_,0312,Nyx_0312,,,,I do.,,,
Integrated,Nyx_,0316,Nyx_0316,,,,Indeed.,,,
Integrated,Nyx_,0319,Nyx_0319,,,,A sound idea.,,,
Integrated,Nyx_,0343,Nyx_0343,,,,"Precisely, yes.",,,
Unused,Nyx_,0375,Nyx_0375,,,,"In this I am unable to assist you, child.",,,
Unused,Nyx_,0378,Nyx_0378,,,,"I cannot simultaneously speak and channel darkness, child.",,,
Integrated,Nyx_,0381,Nyx_0381,,,,"It was the least that I could do. The Olympians shall make powerful allies. But, reveal to them no more than they already know. For all our sakes.",,,
Integrated,Nyx_,0384,Nyx_0384,,,,"Then, go.",,,
Integrated,Nyx_,0408,Nyx_0408,,,,Good.,,,
Integrated,Nyx_,0410,Nyx_0410,,,,"She did, did she...?",,,
Integrated,Nyx_,0411,Nyx_0411,,,,Zagreus.,,,
Integrated,Nyx_,0412,Nyx_0412,,,,Zagreus?,,,
Integrated,Nyx_,0413,Nyx_0413,,,,"Wait, child.",,,
Integrated,Nyx_,0414,Nyx_0414,,,,Welcome to Chaos.,,,
Integrated,Nyx_,0415,Nyx_0415,,,,You found us.,,,
Integrated,Nyx_,0416,Nyx_0416,,,,"All of us, here.",,,
Integrated,Nyx_,0417,Nyx_0417,,,,You are here.,,,
Integrated,Nyx_,0418,Nyx_0418,,,,What a surprise.,,,
Darren,Nyx_,0452,Nyx_0452,Mission Assignments (speculative context),,,"I have a new assignment for you, child.",,,
Darren,Nyx_,0453,Nyx_0453,,,,There is a matter that requires your attention.,,,
Darren,Nyx_,0456,Nyx_0456,,,,"Another situation has arisen, child.",,,
Darren,Nyx_,0457,Nyx_0457,,,,"I require your assistance with something, child.",,,
Darren,Nyx_,0458,Nyx_0458,Nonverbal Emotes,"Knowing. Three or four short ""hm"" sounds.",,<Chuckle>,,,
Darren,Nyx_,0459,Nyx_0459,,Slightly amused.,,<Chuckle>,,,
Darren,Nyx_,0460,Nyx_0460,,"Wry, to herself.",,<Laugh>,,,
Darren,Nyx_,0461,Nyx_0461,,Slightly amused.,,<Laugh>,,,
Unused,Nyx_,0452,Nyx_0452,,,,"I have a new assignment for you, child.",,,
Unused,Nyx_,0453,Nyx_0453,,,,There is a matter that requires your attention.,,,
Unused,Nyx_,0456,Nyx_0456,,,,"Another situation has arisen, child.",,,
Unused,Nyx_,0457,Nyx_0457,,,,"I require your assistance with something, child.",,,
Unused,Nyx_,0458,Nyx_0458,,,,<Chuckle>,,,
Unused,Nyx_,0459,Nyx_0459,,,,<Chuckle>,,,
Unused,Nyx_,0460,Nyx_0460,,,,<Laugh>,,,
Unused,Nyx_,0461,Nyx_0461,,,,<Laugh>,,,
Integrated,Nyx_,0462,Nyx_0462,,,,<Smirk>,,,
Unused,Nyx_,0463,Nyx_0463,,,,<Sigh>,,,
Unused,Nyx_,0464,Nyx_0464,,,,<Sigh>,,,
Unused,Nyx_,0465,Nyx_0465,,,,Hrmm.,,,
Integrated,Nyx_,0471,Nyx_0471,,,,Yes.,,,
Integrated,Nyx_,0474,Nyx_0474,,,,"Well done, child.",,,
Integrated,Nyx_,0475,Nyx_0475,,,,A commendable result.,,,
Integrated,Nyx_,0476,Nyx_0476,,,,You have done well.,,,
Integrated,Nyx_,0477,Nyx_0477,,,,Excellent work.,,,
Integrated,Nyx_,0478,Nyx_0478,,,,To your continued success.,,,
Integrated,Nyx_,0479,Nyx_0479,,,,The realm is strong.,,,
Integrated,Nyx_,0480,Nyx_0480,,,,The House is in order.,,,
