Hades,ID,ID,ID,,,,Line,,,Notes by DK
Integrated,Hades_,0201,Hades_0201,,,,"You wish to meet your uncle Zeus someday? Imagine me, with a luxurious white mane, without a modicum of self-control. That's your Zeus.",,,
Integrated,Hades_,0202,Hades_0202,,,,"In my domain, you either find your place, or learn your place. There's work enough to go around, believe you me.",,,
Integrated,Hades_,0203,Hades_0203,,,,"This is where you belong. You feel out of place? Where would you even go, what would you have me do? Your place is here.",,,
Integrated,Hades_,0204,Hades_0204,,,,"One thing the mortals have on us is that they quickly become men. This is the Fury, Megaera. She shall accelerate the process in your case.",,,
Integrated,Hades_,0205,Hades_0205,,,,"The dead are judged and sent to Asphodel, Elysium, or Tartarus. We keep the process neat and orderly. Everyone gets in, no one gets out.",,,
Integrated,Hades_,0206,Hades_0206,,,,"Your mother is the Night; your brothers, Death, and Sleep. What does that make you, I wonder. There is no god of talking back to me.",,,
Integrated,Hades_,0216,Hades_0216,,,,Congratulations...!,,,
Integrated,Hades_,0217,Hades_0217,,,,"Congratulations, boy.",,,
Integrated,Hades_,0218,Hades_0218,,,,He's finally returned.,,,
Integrated,Hades_,0219,Hades_0219,,,,"Welcome home, boy!",,,
Integrated,Hades_,0226,Hades_0226,,,,Death is inescapable.,,,
Integrated,Hades_,0227,Hades_0227,,,,You cannot escape.,,,
Integrated,Hades_,0228,Hades_0228,,,,That is far enough.,,,
Integrated,Hades_,0229,Hades_0229,,,,"Wretches of the Underworld, this is your chance.",,,
Integrated,Hades_,0230,Hades_0230,,,,"Come forth, wretches, and stop this meddler.",,,
Integrated,Hades_,0231,Hades_0231,,,,"Do not presume that you escape my notice, boy.",,,
Integrated,Hades_,0232,Hades_0232,,,,You really think you can get out of here?,,,
Integrated,Hades_,0233,Hades_0233,,,,Let's see if you can live through this.,,,
Integrated,Hades_,0234,Hades_0234,,,,"Nobody gets out of here, whether alive or dead.",,,
Integrated,Hades_,0235,Hades_0235,,,,"You're out well past your curfew, boy.",,,
Integrated,Hades_,0236,Hades_0236,,,,I've tolerated your impudence for long enough.,,,
Integrated,Hades_,0237,Hades_0237,,,,I see you there.,,,
Integrated,Hades_,0238,Hades_0238,,,,You think you can just walk away from here?,,,
Integrated,Hades_,0239,Hades_0239,,,,If I could spare a minute of your time...,,,
Integrated,Hades_,0240,Hades_0240,,,,Let's see your relatives upon Olympus get you out of this.,,,
Integrated,Hades_,0241,Hades_0241,,,,"Allow me, boy, to introduce some of my loyal subjects.",,,
Integrated,Hades_,0242,Hades_0242,,,,You're not going anywhere.,,,
Integrated,Hades_,0243,Hades_0243,,,,Enough!,,,
Integrated,Hades_,0244,Hades_0244,,,,Worthless wretches.,,,
Integrated,Hades_,0245,Hades_0245,,,,"Pah, useless.",,,
Integrated,Hades_,0246,Hades_0246,,,,Blood and darkness.,,,
Integrated,Hades_,0247,Hades_0247,,,,They had their chance.,,,
Integrated,Hades_,0248,Hades_0248,,,,"I shall deal with you later, then.",,,
Integrated,Hades_,0249,Hades_0249,,,,You lived through all of that?,,,
Integrated,Hades_,0250,Hades_0250,,,,Who is going to clean all of this up?,,,
Integrated,Hades_,0251,Hades_0251,,,,Idiots!,,,
Integrated,Hades_,0252,Hades_0252,,,,Worthless!,,,
Integrated,Hades_,0253,Hades_0253,,,,Useless!,,,
Integrated,Hades_,0254,Hades_0254,,,,Damnable fools.,,,
Integrated,Hades_,0255,Hades_0255,,,,It seems I need to look for better help.,,,
Integrated,Hades_,0256,Hades_0256,,,,Back to the lowest depths with them.,,,
Integrated,Hades_,0257,Hades_0257,,,,"Enough, I've better things to do.",,,
Integrated,Hades_,0258,Hades_0258,,,,"Kkh, you waste my time.",,,
Integrated,Hades_,0259,Hades_0259,,,,What did I tell you?,,,
Integrated,Hades_,0260,Hades_0260,,,,What did I tell you.,,,
Integrated,Hades_,0261,Hades_0261,,,,What did you expect?,,,
Integrated,Hades_,0262,Hades_0262,,,,What did you expect.,,,
Integrated,Hades_,0263,Hades_0263,,,,Surely you could have avoided that.,,,
Integrated,Hades_,0264,Hades_0264,,,,That was inevitable.,,,
Integrated,Hades_,0265,Hades_0265,,,,I'll see you back at home.,,,
Integrated,Hades_,0266,Hades_0266,,,,"You are a weakling, boy.",,,
Integrated,Hades_,0267,Hades_0267,,,,Was that truly your best?,,,
Integrated,Hades_,0268,Hades_0268,,,,"Die, like a mere mortal.",,,
Integrated,Hades_,0269,Hades_0269,,,,"Oh, that was it?",,,
Integrated,Hades_,0270,Hades_0270,,,,<Laughter>,,,
Integrated,Hades_,0271,Hades_0271,,,,<Laughter>,,,
Integrated,Hades_,0272,Hades_0272,,,,<Laughter>,,,
Integrated,Hades_,0273,Hades_0273,,,,You wouldn't dare.,,,
Integrated,Hades_,0274,Hades_0274,,,,How did you... grrr.,,,
Integrated,Hades_,0275,Hades_0275,,,,Go on and try.,,,
Integrated,Hades_,0276,Hades_0276,,,,"You're going nowhere, boy.",,,
Integrated,Hades_,0277,Hades_0277,,,,You won't be anything at all.,,,
Integrated,Hades_,0278,Hades_0278,,,,Megaera failed again?,,,
Integrated,Hades_,0279,Hades_0279,,,,You're not permitted to leave Tartarus...!,,,
Integrated,Hades_,0280,Hades_0280,,,,It seems the Fury failed to do her job.,,,
Integrated,Hades_,0289,Hades_0289,,,,Let's see if you're as skillful as you think.,,,
Integrated,Hades_,0290,Hades_0290,,,,"Wretches of the Underworld, take him.",,,
Integrated,Hades_,0291,Hades_0291,,,,We shall see how good you really are.,,,
Integrated,Hades_,0292,Hades_0292,,,,"How about a little contest, boy.",,,
Integrated,Hades_,0293,Hades_0293,,,,My wretches have come to collect.,,,
Integrated,Hades_,0294,Hades_0294,,,,Let's see you avoid this.,,,
Integrated,Hades_,0295,Hades_0295,,,,"I have a challenge for you, boy.",,,
Integrated,Hades_,0296,Hades_0296,,,,"Can you evade my wretches, boy?",,,
Integrated,Hades_,0297,Hades_0297,,,,"Get him, wretches, now!",,,
Integrated,Hades_,0298,Hades_0298,,,,Time now to pay your dues.,,,
Integrated,Hades_,0299,Hades_0299,,,,I'd like to see you dodge the following.,,,
Integrated,Hades_,0300,Hades_0300,,,,"Don't let yourself get hit, or else, boy!",,,
Integrated,Hades_,0301,Hades_0301,,,,<Laugh>,,,
Integrated,Hades_,0302,Hades_0302,,,,<Laugh>,,,
Integrated,Hades_,0303,Hades_0303,,,,<Laugh>,,,
Integrated,Hades_,0304,Hades_0304,,,,As expected.,,,
Integrated,Hades_,0305,Hades_0305,,,,Another failure.,,,
Integrated,Hades_,0306,Hades_0306,,,,"Oh, too bad.",,,
Integrated,Hades_,0307,Hades_0307,,,,"You've always been slow, boy.",,,
Integrated,Hades_,0308,Hades_0308,,,,You failed.,,,
Integrated,Hades_,0309,Hades_0309,,,,I knew you couldn't do it.,,,
Integrated,Hades_,0310,Hades_0310,,,,Predictable.,,,
Integrated,Hades_,0311,Hades_0311,,,,Laughable.,,,
Integrated,Hades_,0312,Hades_0312,,,,Aww.,,,
Integrated,Hades_,0313,Hades_0313,,,,You thank the Fates for this.,,,
Integrated,Hades_,0314,Hades_0314,,,,Useless lot.,,,
Integrated,Hades_,0315,Hades_0315,,,,Miserable fools.,,,
Integrated,Hades_,0316,Hades_0316,,,,Mere luck is all.,,,
Integrated,Hades_,0317,Hades_0317,,,,How fortunate for you.,,,
Integrated,Hades_,0318,Hades_0318,,,,Enough of this.,,,
Integrated,Hades_,0319,Hades_0319,,,,Grr...,,,
Integrated,Hades_,0320,Hades_0320,,,,<Scoff>,,,
Integrated,Hades_,0321,Hades_0321,,,,Blast.,,,
Integrated,Hades_,0322,Hades_0322,,,,Gloat all you like.,,,
Integrated,Hades_,0323,Hades_0323,,,,"Feh, the dead are useless.",,,
Integrated,Hades_,0324,Hades_0324,,,,"Fine, keep your trinket, then.",,,
Integrated,Hades_,0325,Hades_0325,,,,Megaera seems to be having difficulties.,,,
Integrated,Hades_,0326,Hades_0326,,,,"Go on to Asphodel, and die.",,,
Integrated,Hades_,0327,Hades_0327,,,,Did you enjoy this stint in Tartarus?,,,
Integrated,Hades_,0328,Hades_0328,,,,Tartarus has proved unable to contain you.,,,
Integrated,Hades_,0329,Hades_0329,,,,A very tragic end.,,,
Integrated,Hades_,0330,Hades_0330,,,,"Your time is up, boy.",,,
Integrated,Hades_,0331,Hades_0331,,,,So much for that attempt.,,,
Integrated,Hades_,0332,Hades_0332,,,,Whatever happened there?,,,
Integrated,Hades_,0333,Hades_0333,,,,You don't have what it takes. Nobody does.,,,
Integrated,Hades_,0334,Hades_0334,,,,A tragic end fit for a poet's verse.,,,
Integrated,Hades_,0335,Hades_0335,,,,How many deaths is that?,,,
Integrated,Hades_,0336,Hades_0336,,,,You never seem to learn.,,,
Integrated,Hades_,0337,Hades_0337,,,,What did I tell you?,,,
Integrated,Hades_,0356,Hades_0356,,,,"The Hydra shall grow back, boy.",,,
Integrated,Hades_,0357,Hades_0357,,,,"He did it again, Cerberus!",,,
Integrated,Hades_,0358,Hades_0358,,,,"Everyone, look who it is!",,,
Integrated,Hades_,0359,Hades_0359,,,,"He's done it, Cerberus!",,,
Integrated,Hades_,0360,Hades_0360,,,,"You'll go no further, boy; at least, not yet.",,,
Integrated,Hades_,0361,Hades_0361,,,,Alecto failed...?!,,,
Integrated,Hades_,0362,Hades_0362,,,,Alecto failed just as her sister did.,,,
Integrated,Hades_,0363,Hades_0363,,,,"Tisiphone has failed me, has she.",,,
Integrated,Hades_,0364,Hades_0364,,,,"Tisiphone, defeated...?!",,,
Integrated,Hades_,0365,Hades_0365,,,,So much for the fearsome Furies.,,,
Integrated,Hades_,0366,Hades_0366,,,,"Your place is here, and nowhere else. The same as it is mine. There's naught of any worth to see beyond this realm, besides.",,,
Integrated,Hades_,0367,Hades_0367,,,,Poseidon's an incomparable fool I am ashamed to call my brother. He can shake the earth up there all he pleases; he is unwelcome here.,,,
Integrated,Hades_,0368,Hades_0368,,,,Elysium? It isn't for the good; it's for the great. Great kings or killers. Oft one and the same. They left their mark upon the world. Shall you?,,,
Integrated,Hades_,0369,Hades_0369,,,,"For their mistakes in life, the wretched shades of Tartarus are bound to me in death, however hatefully. They answer to me; quite unlike you.",,,
Integrated,Hades_,0370,Hades_0370,,,,"How many times must I explain this, boy? Each Pact of Punishment needs to be promptly signed, and sealed, and filed. Rather than pile up!",,,
Integrated,Hades_,0371,Hades_0371,,,,"What exactly is it, boy, that makes you feel entitled to show me such disrespect? You dare not say such things to Nyx!",,,
Integrated,Hades_,0372,Hades_0372,,,,"Asphodel has flooded once again, with flame! Not quite the afterlife experience promised to the dead residing there, now, is it, boy?",,,
Integrated,Hades_,0373,Hades_0373,,,,"Upon my name, you lack the cheerfulness of Hypnos and the competence of Thanatos, but have more willfulness than both, combined!",,,
Integrated,Hades_,0374,Hades_0374,,,,"Sometimes I think this mess you call your chambers is one which you've cultivated with great pride, is that the way of it?",,,
Integrated,Hades_,0375,Hades_0375,,,,"Do not stray far again into the pits of Tartarus, or become lost like all its residents. Content yourself to look upon it from afar.",,,
Integrated,Hades_,0376,Hades_0376,,,,"Sulk in your chambers all you like, for I care not! I have eternity to finish with this work, so your assistance is entirely unneeded.",,,
Integrated,Hades_,0377,Hades_0377,,,,"Why do you bleed like mortals do? An aberration, nothing more! And nothing to be proud of. I suggest you keep it to yourself.",,,
Integrated,Hades_,0378,Hades_0378,,,,"Don't you dare look at me like that, boy, with your mismatched eyes. You save it for yourself. You have a mirror in your chambers, don't you?",,,
Integrated,Hades_,0379,Hades_0379,,,,"How suitably disgusting. Fling your blood at me like that again, boy, and I'll have you cast into the Styx, where you can drown in it.",,,
Integrated,Hades_,0380,Hades_0380,,,,You surpassed my Hydra.,,,
Integrated,Hades_,0381,Hades_0381,,,,"The Hydra fell to you again, did it.",,,
Integrated,Hades_,0382,Hades_0382,,,,Where do you think you're going?,,,
Integrated,Hades_,0383,Hades_0383,,,,"No paradise awaits you, boy.",,,
Integrated,Hades_,0384,Hades_0384,,,,"Tread lightly, boy.",,,
Integrated,Hades_,0385,Hades_0385,,,,You are testing my patience.,,,
Integrated,Hades_,0386,Hades_0386,,,,"Still there, are you?",,,
Integrated,Hades_,0387,Hades_0387,,,,We'll have you back here soon enough I think.,,,
Integrated,Hades_,0388,Hades_0388,,,,"Go no further, boy. I'm warning you.",,,
Integrated,Hades_,0389,Hades_0389,,,,"How could you, boy? That Hydra had a family!",,,
Integrated,Hades_,0390,Hades_0390,,,,That victory of yours shall be short-lived.,,,
Integrated,Hades_,0391,Hades_0391,,,,"Oh, I didn't see you come in.",,,
Integrated,Hades_,0392,Hades_0392,,,,I trust you had a pleasant stay in Asphodel?,,,
Integrated,Hades_,0393,Hades_0393,,,,"You think you can just walk into Elysium, do you?",,,
Integrated,Hades_,0404,Hades_0404,,,,The Champion of Elysium has fallen!,,,
Integrated,Hades_,0405,Hades_0405,,,,"Fought all the way out of Elysium, only to end up here.",,,
Integrated,Hades_,0406,Hades_0406,,,,"Don't you see, boy? You are trapped.",,,
Integrated,Hades_,0407,Hades_0407,,,,Elysium is up in arms again because of you.,,,
Integrated,Hades_,0408,Hades_0408,,,,"I didn't think you had it in you, boy.",,,
Integrated,Hades_,0413,Hades_0413,,,,I know where you are.,,,
Integrated,Hades_,0414,Hades_0414,,,,You shall not escape.,,,
Integrated,Hades_,0415,Hades_0415,,,,Where do you think you're going?,,,
Integrated,Hades_,0416,Hades_0416,,,,Stop right there.,,,
Integrated,Hades_,0417,Hades_0417,,,,You should know when to quit.,,,
Integrated,Hades_,0418,Hades_0418,,,,"You're trapped, boy. Don't you understand?",,,
Integrated,Hades_,0419,Hades_0419,,,,"All right, break it up!",,,
Integrated,Hades_,0420,Hades_0420,,,,That's all the time we have.,,,
Integrated,Hades_,0421,Hades_0421,,,,"Bah, that's enough!",,,
Integrated,Hades_,0422,Hades_0422,,,,Decidedly below my expectations.,,,
Integrated,Hades_,0423,Hades_0423,,,,Work faster next time!,,,
Integrated,Hades_,0424,Hades_0424,,,,No more of this buffoonery!,,,
Integrated,Hades_,0431,Hades_0431,,,,"Well, well, well.",,,
Integrated,Hades_,0432,Hades_0432,,,,Hmph! I was looking all over for you.,,,
Integrated,Hades_,0433,Hades_0433,,,,Everything is as it always was.,,,
Integrated,Hades_,0434,Hades_0434,,,,Grown any wiser yet?,,,
Integrated,Hades_,0435,Hades_0435,,,,Alas for ongoing Underworld renovations.,,,
Integrated,Hades_,0436,Hades_0436,,,,I just got back shortly before you did!,,,
Integrated,Hades_,0437,Hades_0437,,,,Resolved the trouble with the Satyrs yet?,,,
Integrated,Hades_,0438,Hades_0438,,,,"You're bound to my domain, boy.",,,
Integrated,Hades_,0439,Hades_0439,,,,So very tired...,,,
Integrated,Hades_,0440,Hades_0440,,,,"Urgh, how could he... you.",,,
Integrated,Hades_,0441,Hades_0441,,,,So you withstood the finest of Elysium.,,,
Integrated,Hades_,0442,Hades_0442,,,,King Theseus has fallen to the likes of you?,,,
Integrated,Hades_,0443,Hades_0443,,,,Your struggles soon shall be in vain.,,,
Integrated,Hades_,0444,Hades_0444,,,,You really think you can get out of here?,,,
Integrated,Hades_,0445,Hades_0445,,,,So you thwarted the Champion of Elysium.,,,
Integrated,Hades_,0446,Hades_0446,,,,"Don't make me come up there, boy.",,,
Integrated,Hades_,0447,Hades_0447,,,,Nothing good awaits beyond my realm.,,,
Integrated,Hades_,0448,Hades_0448,,,,"The worst is yet to come, boy.",,,
Integrated,Hades_,0449,Hades_0449,,,,You think you can just walk away from me?,,,
Integrated,Hades_,0450,Hades_0450,,,,A disappointing show from Theseus.,,,
Integrated,Hades_,0451,Hades_0451,,,,Must I send Cerberus to block your path again?,,,
